Jerome,Fernandez,ST ETIENNE,42100,04.40.53.82.58,jerome.fernandez@server.fr,agriculteur
,Francois,LYON,69001,04.78.23.48.86,jerome.francois@server.fr,acteur
Jerome,Gonzalez,MARSEILLE,13013,04.01.01.00.79,jerome.gonzalez@server.fr,
Jerome,Lacombe,PARIS,75002,01.11.10.05.01,jerome.lacombe@server.fr,
,Launay-Delannoy,,,05.70.02.64.17,,architecte
Josette,Lemaire,PARIS,75020,01.34.91.88.94,josette.lemaire@server.fr,
Josette,Maillot,MARSEILLE,13007,04.11.49.45.90,josette.maillot@server.fr,informaticien
Josette,Moreau,PARIS,75018,01.75.75.76.66,josette.moreau@server.fr,
,Noel,,,02.27.72.27.25,josette.noel@server.fr,acteur
Juliette,Didier,MARSEILLE,13013,04.62.52.05.04,juliette.didier@server.fr,
Luc,Guyot,,,04.51.51.10.33,luc.guyot@server.fr,chauffeur
Luc,Lamy,PARIS,75010,01.44.34.69.11,luc.lamy@server.fr,chef d'entreprise
Luc,Le Ferreira,MARSEILLE,13009,04.79.50.93.39,luc.le-ferreira@server.fr,
,Normand-Humbert,PARIS,75004,01.97.20.84.08,marcelle.normand-humbert@server.fr,
Marcelle,Pages,PARIS,75116,01.84.79.89.00,marcelle.pages@server.fr,
,Guyon,,,05.55.38.31.56,marine.guyon@server.fr,
Marine,Laroche de Gillet,,,04.72.91.71.14,,
,Dupont,,,02.65.61.98.98,maryse.dupont@server.fr,
,Duval,,,05.70.64.52.82,maryse.duval@server.fr,medecin
Maryse,Girard-Fontaine,TOULOUSE,31300,05.34.36.38.37,maryse.girard-fontaine@server.fr,comptable
